Date,High,Low,Open,Close,Volume,Adj Close
2020-02-16,42.25,41.25,42.0,41.25,218838900.0,40.60591506958008
2020-02-23,40.25,29.5,40.0,31.5,704225700.0,31.008150100708008
2020-03-01,38.0,32.0,32.75,36.5,218466400.0,35.93008041381836
2020-03-08,36.75,27.0,34.25,31.0,183852800.0,30.51595687866211
2020-03-15,32.25,23.399999618530273,30.75,24.700000762939453,203121800.0,24.314329147338867
2020-03-22,28.0,20.700000762939453,21.0,25.0,228768800.0,24.609643936157227
2020-03-29,29.0,26.5,26.5,27.75,87720300.0,27.31670379638672
2020-04-05,34.5,27.75,27.75,34.0,152756800.0,33.469112396240234
2020-04-12,34.75,31.25,33.5,33.5,148396400.0,32.97692108154297
2020-04-19,36.75,33.75,33.75,36.25,122300700.0,35.683982849121094
2020-04-26,38.0,35.75,36.5,37.0,49015600.0,36.422271728515625
2020-05-03,37.0,35.0,37.0,36.25,36995700.0,35.683982849121094
2020-05-10,38.0,34.0,36.25,34.25,66386800.0,33.866783142089844
2020-05-17,37.0,34.25,35.0,34.75,67274800.0,34.36119079589844
2020-05-24,40.0,34.75,35.0,38.5,117460400.0,38.06922912597656
2020-05-31,39.25,36.5,39.0,37.0,68307300.0,36.58601379394531
2020-06-07,38.25,34.0,37.75,35.0,94830900.0,34.60839080810547
2020-06-14,36.0,33.0,34.75,34.25,89099200.0,33.866783142089844
2020-06-21,34.75,31.0,34.25,32.5,64772400.0,32.1363639831543
2020-06-28,34.5,31.5,32.0,34.0,61138100.0,33.61957931518555
2020-07-05,34.75,31.5,34.0,32.0,39753600.0,31.641958236694336
2020-07-12,32.0,29.5,32.0,29.75,80679000.0,29.417133331298828
2020-07-19,30.5,28.5,29.75,28.75,88831600.0,28.428321838378906
2020-07-26,30.5,28.75,28.75,29.5,56078600.0,29.16992950439453
2020-08-02,29.5,28.25,29.5,28.75,57523600.0,28.428321838378906
2020-08-09,31.25,28.25,28.75,29.75,74282800.0,29.417133331298828
2020-08-16,31.0,29.0,29.5,30.0,125394800.0,29.664335250854492
2020-08-23,32.0,29.5,30.5,31.0,155170300.0,30.653146743774414
2020-08-30,31.0,28.5,31.0,28.75,116349100.0,28.428321838378906
2020-09-06,29.0,26.5,28.75,27.0,88319400.0,26.69790267944336
2020-09-13,29.75,26.25,27.25,28.0,220328400.0,27.68671417236328
2020-09-20,28.25,26.25,28.0,27.0,56244400.0,26.69790267944336
2020-09-27,27.5,25.0,27.25,25.0,59339400.0,24.720279693603516
2020-10-04,29.5,25.25,25.25,27.75,93877500.0,27.439510345458984
2020-10-11,28.5,26.25,27.75,26.5,40098100.0,26.2034969329834
2020-10-18,27.5,24.5,26.25,27.5,87421900.0,27.19230842590332
2020-10-25,27.75,26.25,27.5,26.75,42759000.0,26.450698852539062
2020-11-01,28.0,25.75,26.75,27.0,63245000.0,26.69790267944336
2020-11-08,33.0,27.75,28.0,32.5,186365200.0,32.1363639831543
2020-11-15,34.75,32.75,33.0,34.75,91917000.0,34.36119079589844
2020-11-22,35.0,32.0,35.0,33.75,77235100.0,33.372379302978516
2020-11-29,35.25,32.0,33.25,35.0,96693300.0,34.60839080810547
2020-12-06,35.75,34.0,35.0,35.0,26012400.0,34.60839080810547
2020-12-13,35.5,33.5,35.25,35.25,64348500.0,34.855594635009766
2020-12-20,33.75,31.25,33.0,33.0,78920700.0,32.630767822265625
2020-12-27,33.25,30.0,33.25,30.75,41226000.0,30.40594482421875
2021-01-03,32.0,29.25,30.0,31.25,69729200.0,30.90035057067871
2021-01-10,31.25,30.25,31.0,30.75,42581100.0,30.40594482421875
2021-01-17,32.5,30.0,30.75,32.25,66224500.0,31.88916015625
2021-01-24,33.0,30.5,32.25,30.75,42330200.0,30.40594482421875
2021-01-31,32.5,30.5,30.75,32.25,39306600.0,31.88916015625
2021-02-07,35.25,32.25,32.5,33.5,65916000.0,33.12517547607422
2021-02-14,33.75,31.75,33.5,32.0,45073200.0,31.641958236694336
2021-02-21,34.0,31.5,32.5,33.5,49169300.0,33.12517547607422
2021-02-28,37.25,33.0,33.25,36.5,92222200.0,36.091609954833984
2021-03-07,38.5,35.75,37.0,37.0,60572200.0,36.58601379394531
2021-03-14,38.0,35.75,36.75,36.0,32441100.0,35.59720230102539
2021-03-21,37.5,35.75,36.0,37.25,34299500.0,36.83321762084961
2021-03-28,38.5,37.25,37.5,38.0,36162700.0,37.574825286865234
2021-04-04,38.0,33.75,37.75,34.5,44967500.0,34.11398696899414
2021-04-11,34.25,32.75,34.0,34.0,27754200.0,33.61957931518555
2021-04-18,35.75,34.0,34.25,35.0,50432300.0,34.60839080810547
2021-04-25,36.25,33.25,34.5,35.0,70055800.0,34.60839080810547
2021-05-02,35.25,33.25,34.5,35.0,28695700.0,35.0
2021-05-09,35.5,30.75,35.5,32.0,89073400.0,32.0
2021-05-16,33.25,31.25,31.75,32.0,58040700.0,32.0
2021-05-23,33.75,31.75,32.0,33.25,45284500.0,33.25
2021-05-30,33.5,32.5,33.25,33.25,13343400.0,33.25
2021-06-01,34.5,33.0,33.75,34.5,12188400.0,34.5
