Date,High,Low,Open,Close,Volume,Adj Close
2009-12-27,35.75,35.75,35.75,35.75,0.0,17.103782653808594
2010-01-03,36.5,33.5,36.0,34.25,34813500.0,16.38614273071289
2010-01-10,35.75,34.0,34.25,35.0,32955200.0,16.744958877563477
2010-01-17,35.25,31.5,35.0,32.75,23549500.0,15.668501853942871
2010-01-24,32.75,30.0,32.25,32.25,15395900.0,15.429288864135742
2010-01-31,32.75,31.0,31.75,31.25,13249600.0,14.95085620880127
2010-02-07,34.5,30.25,30.75,34.25,44879900.0,16.38614273071289
2010-02-14,35.25,33.0,34.25,34.75,22269600.0,16.625356674194336
2010-02-21,35.75,34.0,35.25,34.75,27198900.0,16.625356674194336
2010-02-28,34.75,31.5,34.75,33.0,32261600.0,15.788108825683594
2010-03-07,35.0,32.5,33.5,34.75,18881600.0,16.625356674194336
2010-03-14,37.0,34.5,34.75,37.0,24632300.0,17.70181655883789
2010-03-21,36.75,34.5,36.5,35.0,29182000.0,16.744958877563477
2010-03-28,38.75,34.75,35.5,37.25,34450000.0,17.821428298950195
2010-04-04,38.25,34.25,36.75,35.5,19142500.0,16.98417854309082
2010-04-11,34.75,33.5,33.75,34.25,6630200.0,16.38614273071289
2010-04-18,35.25,33.0,34.0,34.5,12518200.0,16.505748748779297
2010-04-25,35.0,33.5,35.0,34.0,17246302.0,16.26653289794922
2010-05-02,34.75,33.75,34.0,34.25,19540100.0,16.38614273071289
2010-05-09,35.5,33.5,34.25,33.75,23821900.0,16.835187911987305
2010-05-16,33.5,32.25,32.75,33.5,8859800.0,16.710487365722656
2010-05-23,33.5,30.25,33.25,31.75,45520900.0,15.837552070617676
2010-05-30,34.0,31.5,32.25,34.0,28553200.0,16.959897994995117
2010-06-06,36.75,33.0,33.25,36.5,51749700.0,18.20694923400879
2010-06-13,37.0,34.75,36.5,35.75,38712400.0,17.832834243774414
2010-06-20,37.0,35.5,36.0,36.25,22649400.0,18.082239151000977
2010-06-27,39.0,35.75,36.5,39.0,28604400.0,19.45400047302246
2010-07-04,41.25,38.75,39.5,39.0,45952900.0,19.45400047302246
2010-07-11,39.0,36.75,39.0,37.25,32502500.0,18.58106231689453
2010-07-18,46.0,37.0,37.0,44.75,101006000.0,22.322216033935547
2010-07-25,47.5,42.5,44.75,47.25,81103400.0,23.56926918029785
2010-08-01,48.25,44.75,47.0,45.5,69514400.0,22.696331024169922
2010-08-08,46.0,43.5,45.0,43.5,18549800.0,21.69869041442871
2010-08-15,47.25,43.25,43.75,47.0,47886800.0,23.444557189941406
2010-08-22,50.0,44.75,47.5,49.5,88539700.0,24.691619873046875
2010-08-29,51.75,45.5,51.0,45.75,96190000.0,22.821035385131836
2010-09-05,47.5,45.0,46.25,47.0,69886500.0,23.444557189941406
2010-09-12,47.25,39.0,46.75,39.0,109217796.0,19.45400047302246
2010-09-19,41.25,38.0,39.5,41.25,101639200.0,20.576337814331055
2010-09-26,42.5,41.0,42.0,41.25,58492400.0,20.576337814331055
2010-10-03,41.5,39.75,41.5,39.75,29710339.0,19.82811164855957
2010-10-10,41.75,40.0,40.0,41.75,35566000.0,20.82575035095215
2010-10-17,42.0,40.5,41.5,41.5,27792977.0,20.701047897338867
2010-10-24,42.75,41.5,41.5,42.0,26413800.0,20.95046043395996
2010-10-31,42.5,41.25,42.25,41.75,29047200.0,20.82575035095215
2010-11-07,43.75,41.5,41.75,42.5,37674900.0,21.488094329833984
2010-11-14,45.0,42.0,42.25,42.25,43970200.0,21.361692428588867
2010-11-21,43.5,42.25,42.25,43.0,16657100.0,21.740890502929688
2010-11-28,43.75,42.5,42.5,42.75,9539300.0,21.61449432373047
2010-12-05,43.25,41.75,42.75,42.25,10708200.0,21.361692428588867
2010-12-12,43.25,41.5,42.25,41.75,14727100.0,21.108890533447266
2010-12-19,44.25,41.0,41.75,43.5,16197700.0,21.993688583374023
2010-12-26,43.75,41.75,43.75,42.0,7353600.0,21.235294342041016
2011-01-02,43.75,42.0,42.0,43.0,11974800.0,21.740890502929688
2011-01-09,43.25,41.5,42.75,42.75,13256700.0,21.61449432373047
2011-01-16,43.25,41.5,42.75,42.5,8682100.0,21.488094329833984
2011-01-23,42.0,39.5,42.0,40.25,13848400.0,20.35049057006836
2011-01-30,40.5,38.25,39.75,39.75,12630600.0,20.09769058227539
2011-02-06,42.5,39.25,39.5,41.5,18389300.0,20.98249053955078
2011-02-13,43.75,41.25,42.0,43.0,20372300.0,21.740890502929688
2011-02-20,43.25,40.5,42.75,41.25,23207400.0,20.856082916259766
2011-02-27,41.5,40.75,41.25,41.25,10115700.0,20.856082916259766
2011-03-06,42.5,40.5,41.25,42.25,42409700.0,21.361692428588867
2011-03-13,43.5,41.75,42.25,43.0,24958600.0,21.740890502929688
2011-03-20,46.5,43.5,43.5,46.0,39098800.0,23.257699966430664
2011-03-27,48.5,45.5,45.75,48.25,55734000.0,24.39531135559082
2011-04-03,48.75,47.75,48.5,48.75,24315300.0,24.648103713989258
2011-04-10,50.0,48.75,48.75,49.75,12394500.0,25.153705596923828
2011-04-17,53.0,49.75,49.75,52.75,43051700.0,26.67051124572754
2011-04-24,53.25,47.75,53.0,50.5,45734200.0,25.532907485961914
2011-05-01,55.0,50.5,50.5,54.5,45172500.0,29.322954177856445
2011-05-08,61.0,55.0,55.75,56.25,77198200.0,30.264524459838867
2011-05-15,56.25,52.25,56.25,55.75,45026200.0,29.995502471923828
2011-05-22,58.5,55.0,55.5,58.0,26406400.0,31.206083297729492
2011-05-29,58.5,55.0,58.25,58.0,25651200.0,31.206083297729492
2011-06-05,59.25,54.5,58.0,57.75,16880200.0,31.07156753540039
2011-06-12,61.0,57.25,58.0,58.0,36665000.0,31.206083297729492
2011-06-19,59.25,52.5,58.5,54.25,49647600.0,29.188446044921875
2011-06-26,55.25,53.0,54.0,54.75,20135600.0,29.457469940185547
2011-07-03,60.0,55.5,57.25,56.5,56318300.0,30.399028778076172
2011-07-10,56.5,54.5,55.75,56.25,21749200.0,30.264524459838867
2011-07-17,64.75,56.0,57.0,63.75,61899300.0,34.2997932434082
2011-07-24,68.25,63.0,63.25,67.5,33722100.0,36.31742477416992
2011-07-31,70.0,65.0,68.0,69.0,37666000.0,37.124473571777344
2011-08-07,70.25,62.75,67.0,67.5,46058800.0,36.31742477416992
2011-08-14,69.0,65.25,68.25,66.0,29414500.0,35.51036834716797
