Date,High,Low,Open,Close,Volume,Adj Close
2009-12-27,79.25,79.25,79.25,79.25,0.0,50.29899978637695
2010-01-03,82.5,79.0,79.5,80.5,2300800.0,51.09234619140625
2010-01-10,81.75,80.0,80.5,81.0,763000.0,51.409706115722656
2010-01-17,83.0,80.75,81.0,81.75,2915100.0,51.8857307434082
2010-01-24,83.0,78.25,81.75,79.0,1898700.0,50.14033889770508
2010-01-31,79.0,78.0,78.5,78.75,1261300.0,49.98166275024414
2010-02-07,79.0,76.75,78.75,77.5,1813400.0,49.18830108642578
2010-02-14,80.75,77.5,77.75,80.25,565800.0,50.933692932128906
2010-02-21,81.75,80.25,80.75,81.25,2398300.0,51.56837463378906
2010-02-28,81.75,77.0,81.25,77.5,3867900.0,49.18830108642578
2010-03-07,79.75,77.25,77.75,79.25,1945800.0,52.07806396484375
2010-03-14,80.0,78.75,79.25,79.0,2410600.0,51.91379165649414
2010-03-21,80.0,78.75,79.0,79.25,3206400.0,52.07806396484375
2010-03-28,80.5,79.25,80.0,80.25,2029200.0,52.735198974609375
2010-04-04,81.0,80.0,80.5,80.25,2382900.0,52.735198974609375
2010-04-11,81.25,79.5,80.0,80.0,2594100.0,52.570919036865234
2010-04-18,80.25,79.25,80.0,80.0,1750400.0,52.570919036865234
2010-04-25,80.75,79.0,80.25,79.75,1554200.0,52.40663528442383
2010-05-02,80.5,78.75,79.75,79.5,1526700.0,52.24236297607422
2010-05-09,80.0,79.0,79.25,79.75,1637600.0,52.40663528442383
2010-05-16,79.75,78.5,78.5,79.75,621600.0,52.40663528442383
2010-05-23,79.75,77.25,79.75,78.5,1677900.0,51.58521270751953
2010-05-30,79.0,77.25,78.75,79.0,2276700.0,51.91379165649414
2010-06-06,79.25,77.5,77.5,79.0,652000.0,51.91379165649414
2010-06-13,80.5,78.75,79.0,80.5,1120800.0,52.899478912353516
2010-06-20,82.75,79.25,79.5,82.5,1866500.0,54.21376037597656
2010-06-27,83.0,81.5,83.0,83.0,927200.0,54.542335510253906
2010-07-04,89.0,82.75,83.0,87.75,2039200.0,57.66373825073242
2010-07-11,89.75,88.0,89.0,88.0,1157100.0,57.82801818847656
2010-07-18,87.5,84.75,87.5,85.0,1400300.0,55.856597900390625
2010-07-25,86.75,85.0,85.0,85.75,1576200.0,56.34944534301758
2010-08-01,88.0,85.75,86.0,86.25,1841000.0,56.67802047729492
2010-08-08,87.0,85.5,86.75,86.75,1208800.0,57.0066032409668
2010-08-15,90.5,86.5,86.75,89.5,2168000.0,58.813720703125
2010-08-22,93.5,89.5,89.5,93.25,2226000.0,61.27798080444336
2010-08-29,94.5,90.0,93.5,91.0,3443000.0,59.799434661865234
2010-09-05,91.25,88.5,91.25,90.5,1194400.0,61.09574508666992
2010-09-12,92.75,88.0,90.0,91.75,2259700.0,61.93960189819336
2010-09-19,92.25,90.75,92.0,91.75,1155900.0,61.93960189819336
2010-09-26,94.25,91.5,92.0,93.5,1508900.0,63.121028900146484
2010-10-03,94.25,91.5,94.0,92.75,1476600.0,62.61471176147461
2010-10-10,97.0,92.5,92.5,97.0,2342000.0,65.48383331298828
2010-10-17,98.0,93.0,96.0,97.5,1289900.0,65.82137298583984
2010-10-24,99.0,95.5,97.5,96.0,863700.0,64.8087387084961
2010-10-31,98.75,95.5,96.0,96.5,1340900.0,65.14628601074219
2010-11-07,97.5,95.0,96.5,96.0,1275600.0,64.8087387084961
2010-11-14,97.0,93.25,97.0,95.75,1074800.0,64.63996887207031
2010-11-21,96.5,94.25,95.25,94.25,730700.0,63.62733459472656
2010-11-28,94.75,92.25,94.0,93.0,2734600.0,62.783470153808594
2010-12-05,95.5,93.0,93.0,95.0,1367900.0,64.13365173339844
2010-12-12,108.5,94.75,95.0,103.0,6688400.0,69.53437805175781
2010-12-19,106.5,102.0,103.5,103.0,1329200.0,69.53437805175781
2010-12-26,106.5,102.0,103.0,103.5,747400.0,69.87193298339844
2011-01-02,112.0,103.5,103.5,109.0,3032800.0,73.5849380493164
2011-01-09,110.5,103.0,110.0,110.5,2365800.0,74.59756469726562
2011-01-16,112.0,105.0,109.5,108.5,2293900.0,73.24739074707031
2011-01-23,108.5,103.0,107.0,108.5,2816800.0,73.24739074707031
2011-01-30,107.0,102.0,106.5,103.0,1801500.0,69.53437805175781
2011-02-06,104.0,99.75,102.5,103.0,5792700.0,69.53437805175781
2011-02-13,102.5,100.0,102.5,102.5,1108900.0,69.19683074951172
2011-02-20,103.0,99.5,102.0,100.0,5452500.0,67.50910949707031
2011-02-27,100.0,96.0,100.0,97.0,2442100.0,65.48383331298828
2011-03-06,97.5,94.75,97.0,95.25,4621700.0,64.30242919921875
2011-03-13,94.5,90.75,94.5,91.25,3431400.0,63.39472579956055
2011-03-20,93.0,91.25,91.25,92.5,1193500.0,64.26312255859375
2011-03-27,95.5,92.5,93.0,93.5,2596400.0,64.9578857421875
2011-04-03,94.75,93.0,94.25,93.5,2479600.0,64.9578857421875
2011-04-10,93.75,93.0,93.75,93.25,1344900.0,64.78419494628906
2011-04-17,94.5,92.5,94.25,94.5,2029700.0,65.652587890625
2011-04-24,95.0,93.5,94.25,94.75,1163500.0,65.82628631591797
2011-05-01,94.75,92.5,94.75,92.5,1072300.0,64.26312255859375
2011-05-08,94.5,92.5,92.5,94.5,2333500.0,65.652587890625
2011-05-15,96.75,93.75,94.5,96.5,2989200.0,67.04208374023438
2011-05-22,96.5,94.25,96.5,94.25,2453500.0,65.47891998291016
2011-05-29,96.25,93.5,94.5,93.75,1726900.0,65.13156127929688
2011-06-05,94.5,92.0,93.75,93.5,1914500.0,64.9578857421875
2011-06-12,93.75,89.0,93.25,89.0,3338100.0,61.831546783447266
2011-06-19,91.0,89.0,89.0,91.0,3370000.0,63.22104263305664
2011-06-26,93.0,89.75,91.75,93.0,2691000.0,64.6104965209961
2011-07-03,94.0,92.75,93.25,93.0,3185700.0,64.6104965209961
2011-07-10,93.5,92.0,93.0,92.0,1848500.0,63.91576385498047
2011-07-17,95.75,92.0,92.0,95.0,2759200.0,65.9999771118164
