Date,High,Low,Open,Close,Volume,Adj Close
2009-12-27,27.5,27.5,27.5,27.5,0.0,12.120433807373047
2010-01-03,27.5,27.0,27.0,27.0,420500.0,11.900059700012207
2010-01-10,28.25,27.0,27.0,27.25,707100.0,12.010248184204102
2010-01-17,27.75,26.25,27.25,26.75,817200.0,11.789875984191895
2010-01-24,27.0,25.5,26.75,26.25,724100.0,11.569503784179688
2010-01-31,26.25,25.75,25.75,26.0,388800.0,11.459319114685059
2010-02-07,29.25,25.75,25.75,28.5,2027700.0,12.561175346374512
2010-02-14,30.0,28.75,29.0,29.25,5845000.0,12.891735076904297
2010-02-21,30.0,28.5,29.25,29.0,5905100.0,12.781547546386719
2010-02-28,29.0,26.25,29.0,26.5,7695900.0,11.67969036102295
2010-03-07,27.75,25.0,26.5,27.25,5813600.0,12.010248184204102
2010-03-14,29.25,27.0,27.25,29.0,6728800.0,12.781547546386719
2010-03-21,29.75,28.5,29.0,29.0,3509100.0,12.781547546386719
2010-03-28,29.5,28.75,29.0,29.5,4137500.0,13.00191879272461
2010-04-04,29.5,28.75,29.5,29.25,8237600.0,12.891735076904297
2010-04-11,29.0,24.700000762939453,28.75,24.700000762939453,6345500.0,10.886354446411133
2010-04-18,24.5,23.5,24.399999618530273,24.0,2388700.0,11.054308891296387
2010-04-25,24.399999618530273,23.799999237060547,24.0,24.0,1087300.0,11.054308891296387
2010-05-02,24.700000762939453,23.899999618530273,24.0,24.100000381469727,1183500.0,11.100373268127441
2010-05-09,24.399999618530273,23.799999237060547,24.100000381469727,24.0,786600.0,11.054308891296387
2010-05-16,23.899999618530273,23.600000381469727,23.700000762939453,23.799999237060547,461400.0,10.96219253540039
2010-05-23,23.799999237060547,22.899999618530273,23.600000381469727,23.299999237060547,1216100.0,10.731893539428711
2010-05-30,24.5,23.200000762939453,23.200000762939453,24.5,1231000.0,11.284608840942383
2010-06-06,25.25,24.0,24.200000762939453,25.25,1510100.0,11.630054473876953
2010-06-13,28.25,25.25,25.5,25.75,4757900.0,11.860356330871582
2010-06-20,26.5,25.5,25.75,25.5,1430400.0,11.745206832885742
2010-06-27,26.25,25.25,25.5,26.0,1152800.0,11.975503921508789
2010-07-04,27.5,26.25,26.25,26.75,3515500.0,12.32094955444336
2010-07-11,28.0,26.5,27.0,27.25,4169800.0,12.551247596740723
2010-07-18,29.25,27.0,27.25,29.0,5391600.0,13.357293128967285
2010-07-25,29.25,28.5,29.0,29.0,1417900.0,13.357293128967285
2010-08-01,29.0,28.25,29.0,28.75,1590600.0,13.242143630981445
2010-08-08,29.0,28.5,28.75,28.5,673300.0,13.126996040344238
2010-08-15,30.0,28.25,28.75,28.75,9851400.0,13.242143630981445
2010-08-22,29.0,27.25,28.75,28.0,1839300.0,13.415267944335938
2010-08-29,28.5,27.5,28.0,28.0,1924100.0,13.415267944335938
2010-09-05,29.0,28.0,28.0,28.5,2222400.0,13.654826164245605
