Date,High,Low,Open,Close,Volume,Adj Close
2021-02-07,29.5,22.100000381469727,26.5,29.25,1818125500.0,29.15250015258789
2021-02-14,36.5,29.5,30.75,31.5,2469666600.0,31.395000457763672
2021-02-21,32.5,29.5,32.25,29.5,953205300.0,29.40166664123535
2021-02-28,31.25,28.5,29.25,30.25,605396600.0,30.149166107177734
2021-03-07,31.0,29.5,30.5,30.25,472455800.0,30.149166107177734
2021-03-14,33.5,29.75,30.0,32.0,733789500.0,31.893333435058594
2021-03-21,33.5,30.75,31.75,32.75,634644900.0,32.75
2021-03-28,33.0,32.0,32.75,32.25,244422200.0,32.25
2021-04-04,32.5,30.75,32.25,31.0,192758800.0,31.0
2021-04-11,30.75,29.75,30.75,30.5,95902900.0,30.5
2021-04-18,31.0,29.75,30.5,30.0,162124800.0,30.0
2021-04-25,30.75,29.25,30.0,30.5,194799700.0,30.5
2021-05-02,30.25,29.5,30.25,29.75,111116800.0,29.75
2021-05-09,30.0,27.5,29.75,28.5,276803900.0,28.5
2021-05-16,29.75,28.0,28.25,29.5,162074200.0,29.5
2021-05-23,30.75,29.5,29.75,30.0,150406200.0,30.0
2021-06-01,32.0,30.0,30.25,32.0,139797700.0,32.0
