Date,High,Low,Open,Close,Volume,Adj Close
2009-12-27,35.25,35.25,35.25,35.25,0.0,20.827423095703125
2010-01-03,35.75,35.0,35.5,35.5,5067800.0,20.975135803222656
2010-01-10,36.0,35.5,35.5,35.5,5495700.0,20.975135803222656
2010-01-17,35.75,35.0,35.5,35.25,3691300.0,20.827423095703125
2010-01-24,35.25,34.5,35.0,34.5,4439900.0,20.384288787841797
2010-01-31,35.5,34.5,34.5,35.0,3454500.0,20.679712295532227
2010-02-07,36.5,34.75,35.0,35.75,4136800.0,21.122848510742188
2010-02-14,36.75,35.5,36.0,36.5,5720800.0,21.56598472595215
2010-02-21,37.25,35.25,36.5,35.5,6602700.0,20.975135803222656
2010-02-28,35.75,35.0,35.5,35.5,3255900.0,21.65270233154297
2010-03-07,36.25,35.0,35.5,36.25,4857900.0,22.110153198242188
2010-03-14,37.5,35.5,36.0,37.0,6426700.0,22.567604064941406
2010-03-21,37.0,36.0,36.5,36.25,5174100.0,22.110153198242188
2010-03-28,37.0,36.0,36.5,36.5,6022400.0,22.26263999938965
2010-04-04,37.0,36.0,36.5,36.0,4912600.0,21.957674026489258
2010-04-11,36.75,35.25,35.5,36.25,3489200.0,22.110153198242188
2010-04-18,37.0,35.0,36.0,36.25,7500400.0,22.110153198242188
2010-04-25,36.75,36.0,36.5,36.5,1967800.0,22.26263999938965
2010-05-02,36.75,36.0,36.5,36.5,3331100.0,22.26263999938965
2010-05-09,36.75,36.0,36.5,36.25,2138400.0,22.110153198242188
2010-05-16,36.75,35.75,35.75,36.5,1322700.0,22.26263999938965
2010-05-23,36.5,35.5,36.5,36.0,3238500.0,21.957674026489258
2010-05-30,36.5,35.75,36.0,36.25,3105600.0,22.110153198242188
2010-06-06,36.5,35.75,35.75,36.0,2885000.0,21.957674026489258
2010-06-13,36.25,35.75,36.0,36.25,3675500.0,22.110153198242188
2010-06-20,36.5,36.0,36.25,36.0,3460400.0,21.957674026489258
2010-06-27,36.5,36.0,36.25,36.0,3562800.0,21.957674026489258
2010-07-04,37.25,36.0,36.25,37.0,7344900.0,22.567604064941406
2010-07-11,37.75,37.0,37.5,37.5,6791600.0,22.872575759887695
2010-07-18,37.5,37.0,37.25,37.0,5520600.0,22.567604064941406
2010-07-25,38.0,37.0,37.0,37.25,6741700.0,22.720090866088867
2010-08-01,37.75,37.25,37.5,37.5,5728000.0,22.872575759887695
2010-08-08,38.0,37.5,37.5,37.75,1738800.0,23.025060653686523
2010-08-15,38.0,37.5,37.5,37.75,6455200.0,23.025060653686523
2010-08-22,38.25,37.5,37.75,38.0,5095900.0,23.17754364013672
2010-08-29,39.25,38.0,38.25,38.75,6703200.0,23.63499641418457
2010-09-05,39.25,37.5,39.0,37.75,5207000.0,23.025060653686523
2010-09-12,38.0,37.5,38.0,37.75,3447500.0,23.68895149230957
2010-09-19,38.0,37.5,37.5,38.0,4498900.0,23.84583282470703
2010-09-26,38.0,37.5,38.0,37.75,6149400.0,23.68895149230957
2010-10-03,38.0,37.5,37.75,37.5,5020000.0,23.53207015991211
2010-10-10,37.75,37.0,37.5,37.25,14517400.0,23.375186920166016
2010-10-17,37.5,37.0,37.25,37.25,3691500.0,23.375186920166016
2010-10-24,37.5,36.25,37.25,36.5,9999000.0,22.90454864501953
2010-10-31,38.0,36.5,36.75,37.75,7785400.0,23.68895149230957
2010-11-07,38.0,37.0,38.0,37.5,5747700.0,23.53207015991211
2010-11-14,37.5,33.75,37.25,35.25,33167000.0,22.120147705078125
2010-11-21,35.75,34.5,35.75,34.75,23194100.0,21.80638885498047
2010-11-28,35.5,34.5,34.75,35.0,12052000.0,21.963266372680664
2010-12-05,36.25,35.0,35.0,36.0,8399800.0,22.590787887573242
2010-12-12,39.25,36.0,36.25,37.75,25767600.0,23.68895149230957
2010-12-19,38.75,37.25,38.0,38.75,8224300.0,24.31647300720215
2010-12-26,38.75,38.0,38.75,38.25,4375800.0,24.002708435058594
2011-01-02,42.0,38.25,38.75,40.75,27434500.0,25.57151985168457
2011-01-09,41.25,39.0,41.25,40.25,14861100.0,25.257753372192383
2011-01-16,40.5,39.0,40.5,39.75,6261000.0,24.943998336791992
2011-01-23,40.25,38.0,39.5,40.25,12455200.0,25.257753372192383
2011-01-30,40.5,39.0,39.5,39.0,4715800.0,24.47335433959961
2011-02-06,39.75,38.75,39.0,39.75,4604500.0,24.943998336791992
2011-02-13,40.0,39.0,39.75,39.75,3822900.0,24.943998336791992
2011-02-20,40.25,38.0,40.25,38.5,6886700.0,24.15959358215332
2011-02-27,38.5,37.5,38.25,37.75,4234200.0,24.399311065673828
2011-03-06,38.25,37.5,37.75,37.75,5339300.0,24.399311065673828
2011-03-13,38.0,37.25,37.5,37.75,3856100.0,24.399311065673828
2011-03-20,38.0,37.5,37.75,37.5,2696100.0,24.23772621154785
2011-03-27,38.75,37.75,37.75,38.5,5208100.0,24.884069442749023
2011-04-03,39.0,38.25,39.0,38.25,4170100.0,24.722476959228516
2011-04-10,39.0,38.25,38.25,39.0,1876100.0,25.207239151000977
2011-04-17,40.0,38.75,39.0,40.0,7686100.0,25.85357093811035
2011-04-24,40.0,39.25,40.0,40.0,5414000.0,25.85357093811035
2011-05-01,40.25,39.5,40.0,40.0,3378300.0,25.85357093811035
2011-05-08,40.25,39.5,40.0,40.0,5005100.0,25.85357093811035
2011-05-15,41.75,39.75,40.0,41.0,7974500.0,26.499921798706055
2011-05-22,43.5,40.75,40.75,43.0,8978600.0,27.79259490966797
2011-05-29,44.25,42.5,43.0,43.0,13135400.0,27.79259490966797
2011-06-05,43.5,41.5,43.25,42.5,5253900.0,27.469423294067383
2011-06-12,42.5,40.5,42.5,42.25,4981500.0,27.307844161987305
2011-06-19,42.25,41.5,41.5,42.0,3075800.0,27.146249771118164
2011-06-26,42.0,40.5,41.75,41.75,3274500.0,26.98467254638672
2011-07-03,42.5,41.75,42.0,42.0,9389200.0,27.146249771118164
2011-07-10,42.25,41.5,41.75,41.75,2189300.0,26.98467254638672
2011-07-17,42.75,41.5,41.75,42.5,3906100.0,27.469423294067383
2011-07-24,43.0,42.5,42.5,43.0,3312300.0,27.79259490966797
2011-07-31,43.0,41.75,43.0,42.25,6342100.0,27.307844161987305
2011-08-07,43.25,41.25,41.5,42.75,7060000.0,27.631013870239258
2011-08-14,44.0,43.0,43.0,43.25,5087000.0,27.954177856445312
2011-08-21,44.0,42.75,43.0,43.75,9623500.0,28.2773494720459
2011-08-28,45.25,43.25,43.25,43.75,5798900.0,29.002408981323242
2011-09-04,44.75,43.0,43.5,44.5,3356000.0,29.499589920043945
2011-09-11,46.0,43.0,44.5,46.0,6076500.0,30.49396324157715
2011-09-18,45.75,42.0,45.5,44.0,8138300.0,29.168136596679688
2011-09-25,44.0,41.25,43.5,42.5,9812200.0,28.173768997192383
2011-10-02,42.0,39.25,42.0,39.5,7846600.0,26.185028076171875
2011-10-09,42.5,39.0,39.0,42.5,4519300.0,28.173768997192383
2011-10-16,43.0,39.75,42.0,40.0,3365200.0,26.5164852142334
2011-10-23,41.5,39.5,39.5,40.5,4535100.0,26.84794044494629
2011-10-30,42.25,40.5,41.0,41.5,3057600.0,27.51085662841797
2011-11-06,41.75,40.5,41.5,41.25,6132400.0,27.345129013061523
2011-11-13,42.5,41.0,41.25,41.25,8163600.0,27.345129013061523
2011-11-20,42.0,41.0,41.0,41.5,2077600.0,27.51085662841797
2011-11-27,43.75,41.5,41.5,42.75,4135300.0,28.339500427246094
2011-12-04,44.25,42.25,42.75,43.75,4747900.0,29.002408981323242
2011-12-11,45.75,43.0,43.75,43.75,3269700.0,29.002408981323242
2011-12-18,44.0,43.5,43.75,43.5,1913300.0,28.8366756439209
2011-12-25,44.0,43.0,43.75,44.0,3346300.0,29.168136596679688
2012-01-01,44.5,43.5,44.0,44.5,1571800.0,29.499589920043945
2012-01-08,45.0,43.25,44.25,44.0,5845400.0,29.168136596679688
2012-01-15,44.25,43.5,43.75,43.5,2319000.0,28.8366756439209
2012-01-22,44.25,43.5,43.75,43.75,2097100.0,29.002408981323242
2012-01-29,44.25,43.75,43.75,43.75,3436700.0,29.002408981323242
2012-02-05,44.25,43.0,44.0,43.0,7008400.0,28.505233764648438
2012-02-12,44.0,43.0,43.25,43.75,4732800.0,29.002408981323242
2012-02-19,43.75,42.75,43.5,43.25,6085400.0,28.670948028564453
2012-02-26,42.75,41.75,42.25,42.5,4499500.0,28.173768997192383
2012-03-04,42.5,41.75,42.5,41.75,2724200.0,28.43259620666504
2012-03-11,42.0,41.0,41.75,42.0,5878600.0,28.60285186767578
2012-03-18,42.0,41.25,42.0,41.75,7520100.0,28.43259620666504
2012-03-25,42.0,41.25,41.75,41.25,6284300.0,28.092084884643555
2012-04-01,42.0,41.0,41.25,42.0,6111900.0,28.60285186767578
2012-04-08,43.0,41.75,41.75,42.0,6395400.0,28.60285186767578
2012-04-15,42.75,42.0,42.0,42.75,6386900.0,29.11361312866211
2012-04-22,42.75,41.75,42.75,42.0,7657900.0,28.60285186767578
2012-04-29,42.75,41.75,42.25,42.5,9921400.0,28.943361282348633
2012-05-06,42.5,41.0,42.5,41.5,6980100.0,28.26234245300293
2012-05-13,41.75,40.0,41.5,40.25,10966500.0,27.411062240600586
2012-05-20,40.5,40.0,40.25,40.5,5642000.0,27.58131980895996
2012-05-27,42.0,40.25,40.5,41.75,7831000.0,28.43259620666504
2012-06-03,42.25,41.25,41.75,41.75,5817100.0,28.43259620666504
2012-06-10,42.5,41.5,41.75,41.75,8882000.0,28.43259620666504
2012-06-17,42.5,41.75,41.75,42.5,4503000.0,28.943361282348633
2012-06-24,44.0,42.0,42.5,43.75,8095800.0,29.794631958007812
2012-07-01,44.25,43.5,43.75,44.0,6327100.0,29.96489143371582
2012-07-08,44.5,43.5,43.75,44.0,4557100.0,29.96489143371582
2012-07-15,45.0,44.0,44.0,44.5,5230900.0,30.305395126342773
2012-07-22,45.25,43.75,44.0,44.75,4972900.0,30.475656509399414
2012-07-29,47.75,44.75,44.75,47.0,5136900.0,32.00795364379883
2012-08-05,47.0,46.25,47.0,46.5,4254200.0,31.667444229125977
2012-08-12,46.75,46.0,46.5,46.5,4914000.0,31.667444229125977
2012-08-19,47.25,45.75,46.25,47.0,10693700.0,32.00795364379883
2012-08-26,48.0,46.25,47.0,46.25,6963200.0,31.49718475341797
2012-09-02,47.75,45.5,46.25,47.0,6415100.0,32.766761779785156
2012-09-09,48.5,46.75,47.5,47.5,5445800.0,33.11534118652344
2012-09-16,48.0,46.75,47.25,47.5,3824100.0,33.11534118652344
2012-09-23,48.75,47.25,47.25,48.5,5744800.0,33.8125114440918
2012-09-30,54.0,48.5,48.5,54.0,7515900.0,37.646907806396484
2012-10-07,54.25,51.5,52.75,54.0,6384600.0,37.646907806396484
2012-10-14,54.75,51.5,54.0,52.0,5751800.0,36.25258255004883
2012-10-21,54.75,52.5,52.5,54.0,5966000.0,37.646907806396484
2012-10-28,55.0,52.5,53.75,55.0,4009800.0,38.344085693359375
2012-11-04,55.25,53.5,54.5,54.25,3865400.0,37.82121276855469
2012-11-11,55.0,53.5,54.0,54.0,5998400.0,37.646907806396484
2012-11-18,55.75,54.0,54.0,55.25,3485200.0,38.51837158203125
2012-11-25,56.75,52.75,55.0,54.0,10658100.0,37.646907806396484
2012-12-02,55.0,53.75,54.0,55.0,4291000.0,38.344085693359375
2012-12-09,56.5,54.25,55.0,56.5,3500800.0,39.38983154296875
2012-12-16,57.5,55.75,55.75,56.5,7602800.0,39.38983154296875
2012-12-23,61.25,56.25,56.25,59.75,8000100.0,41.65562057495117
2012-12-30,62.0,59.75,59.75,62.0,5254200.0,43.224239349365234
2013-01-06,64.5,59.5,62.0,61.5,7491700.0,42.87565612792969
2013-01-13,62.25,58.5,62.0,58.75,5286600.0,40.95845413208008
2013-01-20,60.5,58.0,59.0,59.5,4744200.0,41.481327056884766
2013-01-27,62.0,59.25,59.5,62.0,5389400.0,43.224239349365234
2013-02-03,62.0,59.75,61.75,59.75,4486700.0,41.65562057495117
2013-02-10,60.75,59.5,59.75,60.5,5330300.0,42.17849349975586
2013-02-17,63.0,59.25,61.0,61.5,9742500.0,42.87565612792969
2013-02-24,64.25,61.25,61.5,62.5,8422900.0,43.572818756103516
2013-03-03,63.5,60.25,61.25,63.25,5282300.0,44.095699310302734
2013-03-10,64.5,61.5,63.75,63.25,5890500.0,44.93691635131836
2013-03-17,63.0,57.5,62.75,58.75,5227600.0,41.73981475830078
2013-03-24,60.5,59.0,59.0,59.5,4460900.0,42.27267074584961
2013-03-31,61.75,58.5,59.75,59.0,4576100.0,41.91743469238281
2013-04-07,60.5,58.75,59.0,59.75,6483500.0,42.45028305053711
2013-04-14,61.0,59.0,59.75,60.75,1970200.0,43.16074752807617
2013-04-21,62.5,60.0,61.0,62.0,6013000.0,44.04883575439453
2013-04-28,63.0,56.5,61.75,57.0,11230100.0,40.49650955200195
2013-05-05,58.0,56.5,57.0,56.75,5093400.0,40.318885803222656
2013-05-12,58.0,56.0,56.75,56.75,4900000.0,40.318885803222656
2013-05-19,57.25,55.75,57.0,56.25,6570500.0,39.96365737915039
2013-05-26,56.25,54.5,55.5,55.0,6950600.0,39.0755729675293
2013-06-02,55.5,51.0,55.25,51.75,7728400.0,36.76655960083008
2013-06-09,54.75,51.0,52.25,53.0,9297800.0,37.65464401245117
2013-06-16,54.75,51.0,53.25,51.5,8177300.0,36.58894348144531
2013-06-23,53.75,48.5,51.25,51.5,5805300.0,36.58894348144531
2013-06-30,52.75,50.75,51.5,51.0,2940200.0,36.23372268676758
2013-07-07,52.0,49.5,50.75,52.0,3771300.0,36.944175720214844
2013-07-14,53.0,51.75,52.5,52.75,3518900.0,37.477027893066406
2013-07-21,54.0,51.5,52.75,52.75,3281800.0,37.477027893066406
2013-07-28,53.5,50.5,52.75,51.25,4220400.0,36.41133499145508
2013-08-04,53.0,50.75,51.0,51.75,3337500.0,36.76655960083008
2013-08-11,52.75,51.25,51.75,52.75,2262400.0,37.477027893066406
2013-08-18,52.25,50.25,52.25,51.5,4210500.0,36.58894348144531
2013-08-25,52.25,49.25,52.25,49.75,3454000.0,35.34563446044922
2013-09-01,50.0,48.75,49.25,50.0,3123600.0,36.30632781982422
2013-09-08,52.25,50.0,50.0,51.0,2879100.0,37.03245544433594
2013-09-15,52.5,51.0,51.5,52.0,5645500.0,37.758583068847656
2013-09-22,52.25,49.75,52.25,50.75,4391700.0,36.85092544555664
2013-09-29,51.0,49.25,50.0,50.5,6587300.0,36.669395446777344
2013-10-06,51.5,50.0,50.25,51.25,2903700.0,37.2139892578125
2013-10-13,52.0,50.75,51.0,51.75,4070300.0,37.57705307006836
2013-10-20,52.5,51.0,51.5,52.25,3645200.0,37.94011306762695
2013-10-27,52.25,49.75,52.25,50.5,4853100.0,36.669395446777344
2013-11-03,51.0,50.0,50.25,50.5,2514200.0,36.669395446777344
2013-11-10,51.25,49.75,50.0,51.0,3700000.0,37.03245544433594
2013-11-17,51.5,49.75,51.25,50.0,3435000.0,36.30632781982422
2013-11-24,50.75,49.75,50.0,50.75,2917100.0,36.85092544555664
2013-12-01,51.25,50.25,50.5,50.5,1957300.0,36.669395446777344
2013-12-08,51.25,50.0,50.5,50.0,1794800.0,36.30632781982422
2013-12-15,50.0,48.5,50.0,48.75,4796300.0,35.3986701965332
2013-12-22,49.0,47.5,48.5,49.0,1949900.0,35.58020782470703
2013-12-29,49.0,45.0,49.0,46.5,2226300.0,33.76488494873047
2014-01-05,49.25,45.75,46.0,48.75,5010000.0,35.3986701965332
2014-01-12,51.75,48.5,48.5,49.0,3491200.0,35.58020782470703
2014-01-19,49.5,48.0,48.5,48.75,3277100.0,35.3986701965332
2014-01-26,48.25,47.5,48.0,47.75,6869900.0,34.672542572021484
2014-02-02,48.5,47.5,48.0,47.75,5799100.0,34.672542572021484
2014-02-09,51.25,47.75,48.0,50.0,3869400.0,36.30632781982422
2014-02-16,50.75,48.75,50.75,49.5,2414500.0,35.943267822265625
2014-02-23,50.0,48.25,49.25,48.5,2294800.0,35.217140197753906
2014-03-02,48.75,48.0,48.75,48.25,1990000.0,35.87940216064453
2014-03-09,49.5,48.0,48.25,49.5,4109700.0,36.80892562866211
2014-03-16,49.75,48.75,49.5,49.5,5074500.0,36.80892562866211
2014-03-23,52.0,49.25,49.5,51.5,8459200.0,38.29615020751953
2014-03-30,54.25,51.5,52.0,54.0,5283200.0,40.155189514160156
2014-04-06,54.0,52.5,54.0,52.75,1819200.0,39.22566604614258
2014-04-13,53.25,51.75,52.75,52.25,2801100.0,38.853858947753906
2014-04-20,53.0,52.25,52.25,52.5,2242100.0,39.039764404296875
2014-04-27,53.5,51.75,52.5,53.0,1843600.0,39.41157531738281
2014-05-04,53.5,51.5,53.0,51.75,3030900.0,38.4820556640625
2014-05-11,52.75,51.75,51.75,52.5,2495400.0,39.039764404296875
2014-05-18,53.25,51.75,52.5,52.75,2271500.0,39.22566604614258
2014-05-25,53.25,52.25,52.25,53.0,3038900.0,39.41157531738281
2014-06-01,55.0,52.75,53.0,54.75,4628000.0,40.7129020690918
2014-06-08,55.0,53.75,55.0,54.0,1792800.0,40.155189514160156
2014-06-15,54.5,52.25,54.0,52.75,2570900.0,39.22566604614258
2014-06-22,55.0,52.5,52.75,55.0,6132500.0,40.8988037109375
2014-06-29,54.75,53.75,54.75,54.5,1911000.0,40.527000427246094
2014-07-06,54.75,53.5,54.25,53.75,1591600.0,39.96928787231445
2014-07-13,54.5,53.75,53.75,54.5,3013900.0,40.527000427246094
2014-07-20,54.75,53.75,54.5,54.75,3571900.0,40.7129020690918
2014-07-27,54.5,53.5,54.5,54.0,3537700.0,40.155189514160156
2014-08-03,55.0,53.75,53.75,55.0,3173900.0,40.8988037109375
2014-08-10,58.0,54.75,54.75,57.75,4513500.0,42.94374465942383
2014-08-17,58.0,56.0,57.5,58.0,4661100.0,43.1296501159668
2014-08-24,60.0,57.75,58.0,58.25,5586400.0,43.3155517578125
2014-08-31,60.0,58.5,58.5,60.0,4231100.0,45.450130462646484
2014-09-07,60.0,57.5,60.0,58.75,3305100.0,44.50325393676758
2014-09-14,58.75,57.5,58.0,57.75,3557100.0,43.74574661254883
2014-09-21,61.0,57.5,57.75,60.25,9698300.0,45.63950729370117
2014-09-28,60.75,58.75,60.25,59.5,5990600.0,45.071380615234375
2014-10-05,61.5,58.5,60.25,60.5,8260600.0,45.82887649536133
2014-10-12,60.75,59.0,60.5,60.25,3399500.0,45.63950729370117
2014-10-19,60.75,59.25,60.75,59.75,2467900.0,45.26074981689453
2014-10-26,60.75,59.5,59.75,60.75,2681700.0,46.01824951171875
2014-11-02,62.75,60.75,61.0,62.0,5867800.0,46.965126037597656
2014-11-09,62.25,61.0,62.25,61.75,3503400.0,46.775760650634766
2014-11-16,62.75,61.0,61.75,61.25,2594900.0,46.397003173828125
2014-11-23,62.25,61.25,61.25,61.75,3298100.0,46.775760650634766
2014-11-30,62.5,61.0,62.0,61.5,3406900.0,46.58637619018555
2014-12-07,61.75,59.0,61.5,59.25,4984400.0,44.88200378417969
2014-12-14,60.0,52.5,58.75,60.0,6044200.0,45.450130462646484
2014-12-21,60.0,58.5,59.75,59.5,2033000.0,45.071380615234375
2014-12-28,59.75,58.0,59.5,58.75,1533500.0,44.50325393676758
2015-01-04,60.0,58.5,59.0,59.0,2421100.0,44.692626953125
2015-01-11,60.0,58.5,59.0,59.0,3952100.0,44.692626953125
2015-01-18,60.5,58.75,59.5,60.25,4310700.0,45.63950729370117
2015-01-25,60.75,59.25,60.75,60.0,4928200.0,45.450130462646484
2015-02-01,61.5,59.5,60.0,61.0,5465000.0,46.2076301574707
2015-02-08,62.0,60.0,61.5,61.25,2774400.0,46.397003173828125
2015-02-15,61.75,60.75,61.25,61.5,2022700.0,46.58637619018555
2015-02-22,62.5,61.0,61.75,61.5,2501800.0,46.58637619018555
2015-03-01,62.5,60.0,61.5,61.0,3456600.0,46.2076301574707
2015-03-08,62.5,58.75,60.0,62.5,4602900.0,48.25825500488281
2015-03-15,62.0,59.5,61.25,61.25,4207500.0,47.293087005615234
2015-03-22,62.5,60.25,61.5,62.25,3319500.0,48.065216064453125
2015-03-29,62.5,60.5,62.5,61.25,3322800.0,47.293087005615234
2015-04-05,61.75,60.5,61.25,60.75,1709500.0,46.907012939453125
2015-04-12,61.75,60.5,60.75,61.0,1320900.0,47.10004806518555
2015-04-19,61.5,59.75,61.0,60.0,5125600.0,46.32792282104492
2015-04-26,61.25,59.75,60.25,60.0,3010400.0,46.32792282104492
2015-05-03,60.25,59.5,60.0,60.0,1653200.0,46.32792282104492
2015-05-10,60.75,58.75,60.0,60.75,5864500.0,46.907012939453125
2015-05-17,60.5,58.75,60.0,59.25,3085400.0,45.74882125854492
2015-05-24,59.5,57.0,59.5,57.25,3502400.0,44.20455551147461
2015-05-31,57.5,56.5,57.25,57.25,3194600.0,44.20455551147461
2015-06-07,58.0,57.0,57.25,57.5,3506400.0,44.397586822509766
2015-06-14,57.5,56.25,57.0,56.5,2898600.0,43.62546157836914
2015-06-21,58.0,56.5,56.75,57.25,2460400.0,44.20455551147461
2015-06-28,58.25,56.5,57.0,56.5,2038400.0,43.62546157836914
2015-07-05,57.0,55.5,56.75,56.75,2557400.0,43.8184928894043
2015-07-12,57.75,55.5,57.0,56.0,2173000.0,43.2393913269043
2015-07-19,55.75,54.0,55.75,54.25,3049200.0,41.88815689086914
2015-07-26,54.5,53.5,54.0,53.75,2486800.0,41.50209045410156
2015-08-02,56.75,53.75,53.75,55.5,2517000.0,42.85332107543945
