Date,High,Low,Open,Close,Volume,Adj Close
2009-12-27,86.75,86.75,86.75,86.75,0.0,56.61246871948242
2010-01-03,88.25,84.75,86.75,87.5,21813600.0,57.101898193359375
2010-01-10,88.5,85.25,88.25,85.5,26494100.0,55.79671859741211
2010-01-17,85.5,79.0,85.25,80.25,42222000.0,52.37059783935547
2010-01-24,83.0,78.0,79.5,79.75,45988800.0,52.0443000793457
2010-01-31,81.75,77.75,79.0,79.0,39215100.0,51.55486297607422
2010-02-07,80.5,77.0,78.75,80.25,26855100.0,52.37059783935547
2010-02-14,81.5,78.0,80.25,79.0,22827500.0,51.55486297607422
2010-02-21,84.5,79.0,80.0,84.0,49113400.0,54.81782150268555
2010-02-28,87.0,84.0,84.0,86.0,33930900.0,56.12301254272461
2010-03-07,86.25,83.25,85.75,86.25,21781500.0,56.286163330078125
2010-03-14,93.25,85.5,85.75,93.0,58805100.0,60.691158294677734
2010-03-21,96.0,90.5,92.0,93.5,77391000.0,61.01746368408203
2010-03-28,94.25,91.25,94.0,91.75,58254400.0,59.875431060791016
2010-04-04,93.75,85.25,91.5,87.0,60258000.0,56.77560806274414
2010-04-11,85.0,81.5,82.5,81.5,35087600.0,54.72797393798828
2010-04-18,88.25,79.75,81.25,83.25,71357300.0,55.90312576293945
2010-04-25,84.75,78.5,84.25,82.0,62075300.0,55.063724517822266
2010-05-02,89.0,82.0,82.0,83.5,66852400.0,56.070980072021484
2010-05-09,87.25,82.0,84.0,84.0,59678000.0,56.406742095947266
2010-05-16,82.5,80.0,80.0,82.5,31236500.0,55.39947509765625
2010-05-23,81.75,78.0,81.75,79.75,42547400.0,53.552833557128906
2010-05-30,84.0,80.0,80.25,83.75,41345500.0,56.238868713378906
2010-06-06,83.0,81.25,81.5,82.5,32464100.0,55.39947509765625
2010-06-13,83.5,81.75,82.5,83.0,50691700.0,55.7352409362793
2010-06-20,85.5,81.0,83.75,82.0,64661100.0,55.063724517822266
2010-06-27,82.75,81.0,82.5,81.5,20366800.0,54.72797393798828
2010-07-04,84.5,81.5,81.75,83.25,45828000.0,55.90312576293945
2010-07-11,85.25,82.75,83.5,84.75,62183900.0,56.91037368774414
2010-07-18,87.0,83.25,84.25,86.25,75612400.0,57.91764450073242
2010-07-25,93.25,86.25,86.25,89.0,108489200.0,59.7642936706543
2010-08-01,94.0,89.75,90.0,93.5,76243600.0,62.78608703613281
2010-08-08,94.0,89.25,93.75,90.75,22840000.0,60.93943786621094
2010-08-15,94.5,88.75,89.75,93.25,56857300.0,62.618221282958984
2010-08-22,94.25,91.25,94.0,92.0,48964200.0,61.77880859375
2010-08-29,98.5,93.0,93.25,97.0,78228400.0,65.13636016845703
2010-09-05,99.0,93.5,98.5,94.25,40467200.0,63.94898223876953
2010-09-12,96.5,90.75,94.75,91.75,76870600.0,62.25271224975586
2010-09-19,100.5,91.25,92.0,99.0,85591600.0,67.17186737060547
2010-09-26,105.5,99.5,100.5,104.5,60832400.0,70.90364837646484
2010-10-03,107.0,101.0,105.0,102.5,45507900.0,69.54663848876953
2010-10-10,108.5,102.5,103.0,107.5,41372600.0,72.93916320800781
2010-10-17,107.0,103.0,107.0,103.5,21352400.0,70.22515106201172
2010-10-24,105.5,101.5,103.5,102.5,15548100.0,69.54663848876953
2010-10-31,116.0,103.0,103.5,114.0,61687800.0,77.34943389892578
2010-11-07,114.5,101.5,113.5,103.0,41863500.0,69.88589477539062
2010-11-14,109.0,100.0,102.0,107.0,35400400.0,72.59989929199219
2010-11-21,108.5,103.0,108.0,104.0,24766000.0,70.56439971923828
2010-11-28,110.0,102.0,103.5,109.0,46418700.0,73.9569091796875
2010-12-05,111.0,106.0,109.0,106.5,30551000.0,72.26065063476562
2010-12-12,108.0,102.5,107.5,103.5,44141100.0,70.22515106201172
2010-12-19,105.5,101.5,103.0,105.0,29638800.0,71.24288940429688
2010-12-26,106.0,102.5,104.5,103.5,24344200.0,70.22515106201172
2011-01-02,109.0,101.5,105.0,102.5,122113300.0,69.54663848876953
2011-01-09,103.5,97.25,102.5,99.5,149869200.0,67.51113891601562
2011-01-16,101.5,97.25,99.5,97.5,71135800.0,66.15412902832031
2011-01-23,98.25,94.0,96.5,96.0,67683300.0,65.13636779785156
2011-01-30,98.0,94.0,94.75,96.25,31615500.0,65.30599212646484
2011-02-06,96.25,92.0,96.0,96.0,76331400.0,65.13636779785156
2011-02-13,103.5,96.25,96.25,101.5,75246800.0,68.86812591552734
2011-02-20,104.0,98.5,102.0,101.0,59267400.0,68.52887725830078
2011-02-27,104.5,99.5,99.5,103.5,53806000.0,70.22515106201172
2011-03-06,106.0,102.0,103.5,102.0,51110700.0,69.20738983154297
2011-03-13,104.0,99.75,102.0,101.5,37286300.0,68.86812591552734
2011-03-20,105.5,101.5,102.0,105.0,44021300.0,71.24288940429688
2011-03-27,113.5,104.0,105.0,113.0,88378000.0,76.67093658447266
2011-04-03,117.5,113.5,114.0,115.5,52487500.0,78.36717987060547
2011-04-10,116.5,112.5,115.5,116.5,19680800.0,79.04569244384766
2011-04-17,117.5,113.0,115.0,116.5,55683300.0,79.04569244384766
2011-04-24,119.0,114.0,116.5,116.0,38417900.0,80.08123016357422
2011-05-01,115.5,112.0,114.5,112.5,27641300.0,77.66499328613281
2011-05-08,118.0,113.0,113.0,115.5,34754600.0,79.73605346679688
2011-05-15,116.0,112.5,114.0,112.5,13402100.0,77.66499328613281
2011-05-22,115.0,109.0,111.0,113.5,33959600.0,78.35533142089844
2011-05-29,115.5,110.0,113.5,110.0,27585000.0,75.93909454345703
2011-06-05,109.0,101.5,109.0,106.0,53855300.0,73.17767333984375
2011-06-12,107.0,103.0,105.0,104.5,35855700.0,72.14212799072266
2011-06-19,107.5,103.0,105.0,105.0,31302900.0,72.48731231689453
2011-06-26,111.5,103.5,104.0,111.0,39209900.0,76.62944793701172
2011-07-03,120.5,115.5,119.0,120.0,59165200.0,82.84264373779297
2011-07-10,119.0,114.5,118.0,116.0,28067200.0,80.08123016357422
2011-07-17,123.0,115.5,117.0,122.0,64918000.0,84.2233657836914
2011-07-24,127.5,120.5,121.0,126.5,60463600.0,87.32994842529297
2011-07-31,128.5,113.5,128.5,118.5,80745900.0,81.80711364746094
2011-08-07,120.0,114.5,115.0,117.5,71070900.0,81.11676025390625
2011-08-14,120.0,116.5,119.0,117.0,58841500.0,80.7715835571289
