Date,High,Low,Open,Close,Volume,Adj Close
2009-12-27,65.0,65.0,65.0,65.0,0.0,45.705623626708984
2010-01-03,65.0,63.0,65.0,65.0,600.0,45.705623626708984
2010-01-10,62.25,61.5,62.25,61.5,2200.0,43.24456024169922
2010-01-17,65.75,61.0,61.5,61.0,200.0,42.89297103881836
2010-01-24,62.0,60.0,61.0,60.75,2400.0,42.71718215942383
2010-01-31,62.0,60.75,60.75,62.0,1300.0,43.59613800048828
2010-02-07,60.0,59.75,60.0,59.75,1800.0,42.01401901245117
2010-02-14,60.0,60.0,60.0,60.0,1400.0,42.18981170654297
2010-02-21,63.5,62.0,62.0,63.5,10200.0,44.650875091552734
2010-02-28,64.0,63.0,63.5,63.0,1300.0,44.29930114746094
2010-03-07,64.75,59.0,63.0,63.0,801.0,45.728309631347656
2010-03-14,64.5,60.0,63.0,61.0,9368.0,44.276615142822266
2010-03-21,66.0,62.0,65.0,63.0,14500.0,45.728309631347656
2010-03-28,64.0,62.0,63.0,64.0,500.0,46.45414733886719
2010-04-04,64.0,64.0,64.0,64.0,0.0,46.45414733886719
2010-04-11,64.0,64.0,64.0,64.0,0.0,46.45414733886719
2010-04-18,64.5,60.0,64.0,60.0,10200.0,43.55077362060547
2010-04-25,60.0,60.0,60.0,60.0,0.0,43.55077362060547
2010-05-02,69.5,60.0,60.0,61.0,201.0,44.276615142822266
2010-05-09,70.0,61.0,61.0,69.0,13700.0,50.08338165283203
2010-05-16,69.0,64.0,69.0,64.0,1000.0,46.45414733886719
2010-05-23,64.25,64.0,64.0,64.0,1500.0,46.45414733886719
2010-05-30,66.0,64.5,66.0,65.5,3200.0,47.542911529541016
2010-06-06,66.0,64.5,64.5,64.5,11600.0,46.817073822021484
2010-06-13,67.75,64.5,64.5,67.25,1400.0,48.81315612792969
2010-06-20,66.5,64.0,64.0,65.0,3100.0,47.18000030517578
2010-06-27,66.0,61.0,65.0,66.0,1900.0,47.90583419799805
2010-07-04,70.0,66.75,66.75,70.0,12500.0,50.80923080444336
2010-07-11,74.5,70.0,70.0,74.0,9800.0,53.712615966796875
2010-07-18,74.5,70.0,73.75,71.0,17000.0,51.53507995605469
2010-07-25,73.5,71.0,71.0,73.5,7900.0,53.34968948364258
2010-08-01,75.0,72.5,73.0,74.0,8000.0,53.712615966796875
2010-08-08,75.0,74.0,74.0,74.0,15800.0,53.712615966796875
2010-08-15,75.5,73.0,74.0,74.25,47200.0,53.894081115722656
2010-08-22,75.0,74.0,74.25,75.0,15100.0,54.43846130371094
2010-08-29,75.5,74.0,75.0,75.5,38100.0,54.8013916015625
2010-09-05,75.5,73.0,75.0,73.5,19100.0,53.34968948364258
2010-09-12,75.0,73.0,74.0,74.5,25200.0,54.07553482055664
2010-09-19,77.75,75.0,75.0,77.25,47700.0,56.071617126464844
2010-09-26,79.0,77.0,77.0,79.0,13300.0,57.34185028076172
2010-10-03,79.75,76.5,79.0,77.0,12000.0,55.89015197753906
2010-10-10,78.0,75.0,77.0,75.0,8500.0,54.43846130371094
2010-10-17,77.75,75.0,75.0,76.5,2100.0,55.5272331237793
2010-10-24,81.5,76.5,76.5,81.5,11300.0,59.156455993652344
2010-10-31,82.0,79.0,80.0,79.5,3800.0,57.70476150512695
2010-11-07,81.5,76.5,79.5,81.0,3799.0,58.79353713989258
2010-11-14,81.0,77.5,81.0,80.0,1001.0,58.067691802978516
2010-11-21,82.0,79.25,79.25,82.0,3400.0,59.51938247680664
2010-11-28,82.0,80.0,82.0,80.0,147.0,58.067691802978516
2010-12-05,80.0,79.5,80.0,79.5,1000.0,57.70476150512695
2010-12-12,85.0,81.0,82.0,83.75,7800.0,60.789608001708984
2010-12-19,95.0,84.0,94.0,93.5,7500.0,67.86663055419922
2010-12-26,100.0,95.0,95.0,98.0,18900.0,71.13292694091797
2011-01-02,112.5,97.5,98.0,104.0,18500.0,75.48800659179688
2011-01-09,102.0,99.5,100.0,101.0,24900.0,73.31045532226562
2011-01-16,101.0,101.0,101.0,101.0,100.0,73.31045532226562
2011-01-23,103.0,80.5,102.0,98.0,51900.0,71.13292694091797
2011-01-30,102.0,99.0,99.0,102.0,13900.0,74.03631591796875
2011-02-06,104.5,99.5,99.5,101.0,1700.0,73.31045532226562
2011-02-13,104.0,100.0,101.5,104.0,11500.0,75.48800659179688
2011-02-20,106.0,102.0,104.0,105.5,5500.0,76.5767593383789
2011-02-27,104.5,102.0,104.0,104.5,900.0,75.85092163085938
2011-03-06,105.0,102.0,104.5,102.0,2300.0,74.03631591796875
2011-03-13,106.0,103.0,105.5,104.0,5100.0,75.48800659179688
2011-03-20,104.0,102.0,104.0,102.0,4100.0,74.03631591796875
2011-03-27,104.0,100.0,103.0,102.0,7300.0,74.03631591796875
2011-04-03,103.0,100.0,102.0,100.0,9400.0,74.3870620727539
2011-04-10,103.0,100.0,100.0,100.0,5000.0,74.3870620727539
2011-04-17,102.0,100.0,100.0,102.0,1200.0,75.87481689453125
2011-04-24,101.0,100.0,101.0,100.0,2500.0,74.3870620727539
2011-05-01,104.0,100.0,100.0,100.0,6300.0,74.3870620727539
2011-05-08,105.0,92.25,100.0,103.0,8200.0,76.61868286132812
2011-05-15,110.0,103.0,103.0,105.5,5400.0,78.4783706665039
2011-05-22,105.5,102.0,105.5,104.5,5700.0,77.73448181152344
2011-05-29,133.0,104.5,105.0,120.0,11200.0,89.26448822021484
2011-06-05,121.0,114.0,121.0,118.5,5200.0,88.14869689941406
2011-06-12,120.0,113.0,114.0,114.0,12700.0,84.80126953125
2011-06-19,120.0,110.0,114.0,120.0,400.0,89.26448822021484
2011-06-26,136.5,112.0,120.0,118.5,4300.0,88.14869689941406
2011-07-03,133.0,120.0,133.0,120.0,6800.0,89.26448822021484
2011-07-10,135.0,115.0,115.0,133.0,5500.0,98.93480682373047
2011-07-17,136.0,133.0,136.0,134.0,4200.0,99.67868041992188
2011-07-24,135.0,128.0,128.0,135.0,31200.0,100.42253875732422
2011-07-31,135.0,134.0,135.0,135.0,8100.0,100.42253875732422
2011-08-07,149.0,135.0,135.0,149.0,5500.0,110.83673095703125
2011-08-14,163.0,140.0,149.0,140.0,39400.0,104.14190673828125
2011-08-21,150.0,141.0,142.0,150.0,800.0,111.58061218261719
2011-08-28,170.0,147.0,150.0,167.0,1500.0,124.22642517089844
2011-09-04,166.0,155.0,155.0,160.0,6300.0,119.01931762695312
2011-09-11,168.0,146.0,156.0,154.0,17100.0,114.55607604980469
2011-09-18,154.0,144.0,154.0,145.0,5700.0,107.86125183105469
2011-09-25,145.0,139.0,143.0,142.0,9100.0,105.62964630126953
2011-10-02,149.5,130.0,140.0,145.0,7600.0,107.86125183105469
2011-10-09,140.0,128.0,140.0,129.0,9000.0,95.95932006835938
2011-10-16,134.0,129.0,134.0,130.0,1500.0,96.70320129394531
2011-10-23,144.0,130.0,130.0,142.0,800.0,105.62964630126953
2011-10-30,142.5,135.0,142.5,140.0,1000.0,104.14190673828125
2011-11-06,141.5,130.0,140.0,140.0,3500.0,104.14190673828125
2011-11-13,148.5,140.0,140.0,148.5,3200.0,110.46480560302734
2011-11-20,150.0,145.0,147.5,145.0,3000.0,107.86125183105469
2011-11-27,150.0,145.0,145.0,149.0,1100.0,110.83673095703125
2011-12-04,155.0,149.0,149.0,155.0,2100.0,116.50519561767578
2011-12-11,155.0,153.5,155.0,154.0,1800.0,115.75352478027344
2011-12-18,155.0,153.0,154.0,153.0,10800.0,115.00189208984375
2011-12-25,159.0,152.5,152.5,155.5,2200.0,116.88099670410156
2012-01-01,160.5,155.0,155.5,160.5,3600.0,120.63923645019531
2012-01-08,166.0,156.0,159.0,158.0,18700.0,118.7601318359375
2012-01-15,168.0,157.0,158.0,160.0,7100.0,120.26342010498047
2012-01-22,160.0,155.0,160.0,155.0,4900.0,116.50519561767578
2012-01-29,157.0,154.0,155.0,156.0,7300.0,117.25682830810547
2012-02-05,157.0,154.0,156.0,154.0,6800.0,115.75352478027344
2012-02-12,159.0,155.5,157.0,159.0,1600.0,119.51176452636719
2012-02-19,162.0,155.0,155.0,161.5,5700.0,121.39087677001953
2012-02-26,161.5,160.0,161.5,160.0,1200.0,120.26342010498047
2012-03-04,168.0,155.0,158.0,166.0,5800.0,124.77330017089844
2012-03-11,168.0,164.0,166.0,164.0,5300.0,123.27001190185547
2012-03-18,174.5,164.0,164.0,170.0,2900.0,129.7578887939453
2012-03-25,190.0,169.0,170.0,185.0,5400.0,141.20712280273438
2012-04-01,200.0,190.0,190.0,195.0,5100.0,148.83995056152344
2012-04-08,223.0,190.0,200.0,210.0,2000.0,160.2891387939453
2012-04-15,218.0,204.0,210.0,218.0,1400.0,166.39540100097656
2012-04-22,220.0,218.0,220.0,220.0,2200.0,167.92198181152344
2012-04-29,220.0,218.0,220.0,220.0,5300.0,167.92198181152344
2012-05-06,224.0,201.0,220.0,221.0,1400.0,168.6852569580078
2012-05-13,225.0,199.0,220.0,221.0,7000.0,168.6852569580078
2012-05-20,228.0,220.0,228.0,220.0,6600.0,167.92198181152344
2012-05-27,221.0,213.0,221.0,218.0,4700.0,166.39540100097656
2012-06-03,225.0,206.0,218.0,210.0,10900.0,160.2891387939453
2012-06-10,214.0,190.0,214.0,202.0,11800.0,154.18287658691406
2012-06-17,200.0,181.5,200.0,191.0,64400.0,145.78680419921875
2012-06-24,220.0,193.0,193.5,215.0,15500.0,164.1055908203125
2012-07-01,219.0,201.0,214.0,209.0,5300.0,159.52589416503906
2012-07-08,210.0,204.0,210.0,208.0,6200.0,158.76258850097656
2012-07-15,208.0,202.0,208.0,206.0,7900.0,157.2360382080078
2012-07-22,204.0,201.0,204.0,202.0,5500.0,154.18287658691406
2012-07-29,210.0,202.0,203.0,210.0,8900.0,160.2891387939453
2012-08-05,221.0,204.0,206.0,220.0,9700.0,167.92198181152344
2012-08-12,237.0,210.0,220.0,237.0,19800.0,180.8977813720703
2012-08-19,253.0,240.0,242.0,241.0,20700.0,183.950927734375
2012-08-26,241.0,215.0,241.0,219.0,29300.0,167.15870666503906
2012-09-02,240.0,220.0,220.0,235.0,17000.0,179.37118530273438
2012-09-09,243.0,228.0,235.0,233.0,11900.0,177.84463500976562
2012-09-16,235.0,229.0,233.0,232.0,10400.0,177.0813751220703
2012-09-23,242.0,229.0,235.0,238.0,20000.0,181.66104125976562
2012-09-30,236.0,227.0,234.0,233.0,23700.0,177.84463500976562
2012-10-07,237.0,229.0,237.0,231.0,6300.0,176.3180694580078
2012-10-14,231.0,228.0,231.0,229.0,7100.0,174.79153442382812
2012-10-21,231.0,227.0,227.0,227.0,5700.0,173.2649383544922
2012-10-28,233.0,227.0,229.0,230.0,16300.0,175.55479431152344
2012-11-04,234.0,228.0,230.0,228.0,9300.0,174.02822875976562
2012-11-11,232.0,222.0,230.0,229.0,14600.0,174.79153442382812
2012-11-18,231.0,225.0,227.0,230.0,8000.0,175.55479431152344
2012-11-25,231.0,228.0,230.0,230.0,6600.0,175.55479431152344
2012-12-02,231.0,226.0,230.0,226.0,11200.0,174.01483154296875
2012-12-09,230.0,226.0,226.0,230.0,9500.0,177.09475708007812
2012-12-16,231.0,223.0,231.0,224.0,8300.0,172.47491455078125
2012-12-23,228.0,224.0,225.0,227.0,7500.0,174.78482055664062
2012-12-30,229.0,225.0,227.0,227.0,7800.0,174.78482055664062
2013-01-06,229.0,222.0,227.0,222.0,16700.0,170.93492126464844
2013-01-13,226.0,215.0,222.0,220.0,75200.0,169.39498901367188
2013-01-20,223.0,218.0,218.0,220.0,23800.0,169.39498901367188
2013-01-27,225.0,219.0,222.0,225.0,21700.0,173.244873046875
2013-02-03,228.0,221.0,226.0,224.0,8700.0,172.47491455078125
2013-02-10,260.0,226.0,226.0,251.0,43300.0,193.26426696777344
2013-02-17,268.0,246.0,254.0,263.0,25500.0,202.5039825439453
2013-02-24,264.0,257.0,263.0,260.0,18100.0,200.19406127929688
2013-03-03,262.0,253.0,260.0,258.0,35000.0,198.6540985107422
2013-03-10,262.0,256.0,258.0,256.0,24500.0,197.11415100097656
2013-03-17,256.0,200.0,256.0,230.0,23300.0,178.64068603515625
2013-03-24,250.0,229.0,230.0,247.0,18700.0,191.8445587158203
2013-03-31,247.0,230.0,246.0,230.0,10200.0,178.64068603515625
2013-04-07,236.0,230.0,230.0,236.0,19800.0,183.30087280273438
2013-04-14,245.0,232.0,236.0,245.0,7900.0,190.29115295410156
2013-04-21,250.0,241.0,249.0,247.0,16900.0,191.8445587158203
2013-04-28,252.0,245.0,249.0,248.0,39800.0,192.6212615966797
2013-05-05,254.0,247.0,248.0,254.0,29400.0,197.28143310546875
2013-05-12,260.0,251.0,255.0,253.0,80300.0,196.5047607421875
2013-05-19,256.0,244.0,251.0,250.0,21100.0,194.17466735839844
2013-05-26,250.0,244.0,246.0,247.0,10200.0,191.8445587158203
2013-06-02,247.0,237.0,246.0,244.0,4100.0,189.5144500732422
2013-06-09,245.0,229.0,244.0,236.0,7700.0,183.30087280273438
