Date,High,Low,Open,Close,Volume,Adj Close
2009-12-27,42.75,42.75,42.75,42.75,0.0,27.359102249145508
2010-01-03,44.5,42.25,43.0,44.25,28680500.0,28.31907081604004
2010-01-10,46.25,44.5,44.75,44.75,44717100.0,28.639055252075195
2010-01-17,45.25,40.75,44.25,41.5,32752800.0,26.559131622314453
2010-01-24,41.0,39.25,40.75,40.75,29733900.0,26.07914924621582
2010-01-31,42.25,39.75,40.25,40.75,23431800.0,26.07914924621582
2010-02-07,41.25,39.5,40.5,41.0,22716900.0,26.239133834838867
2010-02-14,41.75,40.25,41.0,41.75,15366500.0,26.71912956237793
2010-02-21,43.5,41.25,42.0,43.25,33644600.0,27.679092407226562
2010-02-28,45.0,42.5,43.5,43.0,35837800.0,27.519094467163086
2010-03-07,45.75,41.0,43.0,45.25,70086300.0,29.975154876708984
2010-03-14,47.0,44.5,44.5,46.75,43424900.0,30.968807220458984
2010-03-21,51.75,46.25,46.25,48.25,90461500.0,31.962459564208984
2010-03-28,52.75,46.25,48.5,51.5,89568500.0,34.11537170410156
2010-04-04,53.25,48.0,50.75,50.25,48709300.0,33.28731918334961
2010-04-11,47.75,45.25,46.75,45.25,38513700.0,29.975154876708984
2010-04-18,50.0,43.25,44.25,47.0,68712100.0,31.13442039489746
2010-04-25,48.5,45.25,47.75,47.0,43395200.0,31.13442039489746
2010-05-02,50.5,46.75,49.25,47.75,44893300.0,31.63123893737793
2010-05-09,49.25,45.25,48.25,47.0,35921000.0,31.13442039489746
2010-05-16,47.0,44.0,44.25,47.0,14029100.0,31.13442039489746
2010-05-23,46.75,42.0,46.25,43.5,44048400.0,28.81589126586914
2010-05-30,45.5,43.5,43.75,44.75,39727200.0,29.64393424987793
2010-06-06,44.25,43.25,43.75,43.5,27128500.0,28.81589126586914
2010-06-13,45.0,43.0,43.75,44.0,37291800.0,29.147117614746094
2010-06-20,45.25,43.25,44.75,43.75,37400800.0,28.981508255004883
2010-06-27,45.5,43.5,44.0,43.75,33226900.0,28.981508255004883
2010-07-04,44.25,42.25,43.75,43.0,34829510.0,28.484676361083984
2010-07-11,44.0,43.0,43.25,43.25,24731800.0,28.65028953552246
2010-07-18,43.25,39.5,43.0,41.5,64016800.0,27.491029739379883
2010-07-25,44.75,42.25,42.5,44.0,48772100.0,29.147117614746094
2010-08-01,45.75,44.25,44.5,44.75,37456600.0,29.64393424987793
2010-08-08,45.0,43.0,44.75,43.0,28275100.0,28.484676361083984
2010-08-15,44.75,42.0,43.0,44.0,34963500.0,29.147117614746094
2010-08-22,44.75,43.0,44.25,44.75,26636800.0,29.64393424987793
2010-08-29,46.75,43.25,44.75,46.75,52650100.0,30.968807220458984
2010-09-05,51.0,47.25,47.25,50.75,132061500.0,33.61854934692383
2010-09-12,52.25,47.25,51.5,50.5,78405900.0,33.45293426513672
2010-09-19,51.5,49.5,50.5,50.25,34877400.0,33.28731918334961
2010-09-26,54.0,50.0,51.0,54.0,49246700.0,36.201576232910156
2010-10-03,57.25,53.5,54.5,53.5,78518900.0,35.86637878417969
2010-10-10,56.75,54.0,54.0,56.75,43193300.0,38.0451774597168
2010-10-17,56.75,53.0,56.5,54.5,43040000.0,36.53677749633789
2010-10-24,55.5,52.0,54.75,53.0,23222600.0,35.53117370605469
2010-10-31,60.0,53.75,53.75,59.0,122712800.0,39.55356979370117
2010-11-07,66.0,58.0,59.0,61.5,134137300.0,41.22957229614258
2010-11-14,63.25,57.25,60.75,62.75,75705800.0,42.067569732666016
2010-11-21,68.5,63.25,63.25,65.0,83323300.0,43.57596969604492
2010-11-28,70.5,64.25,64.5,69.5,69273100.0,46.592769622802734
2010-12-05,72.0,69.5,70.5,72.0,37657500.0,48.268768310546875
2010-12-12,80.0,71.5,72.75,72.0,146017400.0,48.268768310546875
2010-12-19,76.25,71.5,72.0,75.5,50078000.0,50.61516189575195
2010-12-26,79.75,75.0,75.25,78.25,38147700.0,52.458763122558594
