Date,High,Low,Open,Close,Volume,Adj Close
2018-12-16,23.799999237060547,21.0,23.0,23.0,83611200.0,21.580049514770508
2018-12-23,23.399999618530273,22.5,23.200000762939453,22.799999237060547,19842300.0,21.392396926879883
2018-12-30,23.200000762939453,21.899999618530273,22.799999237060547,22.5,4244100.0,21.110918045043945
2019-01-06,22.899999618530273,22.5,22.799999237060547,22.899999618530273,1678200.0,21.486223220825195
2019-01-13,23.0,22.600000381469727,22.899999618530273,22.799999237060547,1696400.0,21.392396926879883
2019-01-20,24.5,22.5,22.799999237060547,24.399999618530273,19096900.0,22.893617630004883
2019-01-27,25.75,23.799999237060547,24.5,24.299999237060547,25753700.0,22.799789428710938
2019-02-03,24.899999618530273,23.799999237060547,24.299999237060547,23.799999237060547,13576000.0,22.33066177368164
2019-02-10,24.299999237060547,23.200000762939453,23.899999618530273,24.100000381469727,9883200.0,22.612138748168945
2019-02-17,24.200000762939453,22.600000381469727,24.100000381469727,24.0,9708900.0,22.518312454223633
2019-02-24,27.25,23.5,24.0,27.0,20818500.0,25.333101272583008
2019-03-03,29.25,26.0,27.0,28.5,11018300.0,26.740497589111328
2019-03-10,30.0,27.5,28.25,28.0,8445100.0,26.271364212036133
2019-03-17,33.0,28.25,28.5,30.75,14176200.0,29.158517837524414
2019-03-24,31.5,28.75,30.0,31.0,9863700.0,29.395580291748047
2019-03-31,32.5,29.5,31.25,30.0,8833400.0,28.447336196899414
2019-04-07,31.5,29.75,30.0,30.25,2907300.0,28.68439483642578
2019-04-14,31.0,29.0,30.25,29.75,3081000.0,28.21027374267578
2019-04-21,35.0,29.75,30.0,34.5,15754500.0,32.71443557739258
2019-04-28,38.25,33.5,34.5,36.5,9508400.0,34.61091995239258
2019-05-05,37.0,32.5,36.5,34.5,9033400.0,32.71443557739258
2019-05-12,37.0,31.25,34.25,34.75,15442400.0,32.95149612426758
2019-05-19,35.25,33.5,34.75,33.5,3096300.0,31.766191482543945
2019-05-26,34.5,32.0,34.0,32.25,5464300.0,30.58088493347168
2019-06-02,35.0,32.25,32.25,33.5,7029400.0,31.766191482543945
2019-06-09,36.75,33.25,33.75,36.0,9421400.0,34.13679885864258
2019-06-16,39.0,35.5,36.0,38.0,17950500.0,36.03329086303711
